,Unnamed: 0,time,shoulder_qpos,shoulder_qvel,shoulder_effort,elbow_qpos,elbow_qvel,elbow_effort
6195,6195,76.84944367408752,0.1018536726580983,-2.668812990188598,0.3758477568626404,0.1225276812911033,-0.915287435054779,0.1400307714939117
6196,6196,76.86126208305359,0.0748494307147424,-2.6588997840881348,0.3360607028007507,0.1134798154234886,-0.9088250994682312,0.1200429946184158
6197,6197,76.87271428108215,0.0215072631835901,-2.635072946548462,0.3387674391269684,0.0954687725752592,-0.8926436901092529,0.1137216612696647
6198,6198,76.88405799865723,-0.0048751831054687,-2.61645770072937,0.3290702402591705,0.08614057675004,-0.9354563355445862,0.1389974802732467
6199,6199,76.8970742225647,-0.0309219360351562,-2.605802059173584,0.3791065812110901,0.0770781217142939,-0.9339327216148376,0.1345497816801071
6200,6200,76.90896463394165,-0.0563240051269531,-2.5058932304382324,0.2892753779888153,0.0677855089306831,-0.939085841178894,0.127100184559822
6201,6201,76.92050123214722,-0.1057929992675816,-2.4437179565429688,0.3050556480884552,0.0581833217293024,-0.9864779114723206,0.1524341255426406
6202,6202,76.93189716339111,-0.1297225952148437,-2.3678908348083496,0.3076226711273193,0.0389665104448795,-1.008127212524414,0.1557407528162002
6203,6203,76.9433126449585,-0.150772094726566,-2.311356544494629,0.2794219255447387,0.0297942236065864,-0.92983740568161,0.1221140325069427
6204,6204,76.95474743843079,-0.1756515502929723,-2.265902280807495,0.3037768304347992,0.0204798877239227,-0.9173852801322936,0.1272486001253128
6205,6205,76.96576166152954,-0.1974639892578125,-2.127903461456299,0.2656313478946686,0.0110974088311195,-0.956341564655304,0.1326209902763366
6206,6206,76.97612166404724,-0.2185173034667968,-2.063481092453003,0.3121569454669952,0.0020070821046829,-0.905001938343048,0.1017152741551399
6207,6207,76.98807883262634,-0.2384033203125,-1.9699410200119016,0.251798003911972,-0.0071085840463638,-0.8789505958557129,0.1175706312060356
6208,6208,76.99922513961792,-0.2553443908691406,-1.8866727352142327,0.2936818897724151,-0.0161218643188476,-0.9101722836494446,0.1389094591140747
6209,6209,77.01052641868591,-0.27508544921875,-1.729264497756958,0.2203157246112823,-0.0250908061861991,-0.887873113155365,0.117373488843441
6210,6210,77.02251434326172,-0.3069839477539062,-1.4791178703308103,0.200903981924057,-0.0435525178909301,-0.9562639594078064,0.1199671104550361
6211,6211,77.03351044654846,-0.3214645385742223,-1.4342347383499146,0.1980021297931671,-0.0528108775615692,-0.947761058807373,0.1344487220048904
6212,6212,77.0456531047821,-0.334686279296875,-1.2762048244476318,0.1458334624767303,-0.0619383752346038,-0.9064071774482728,0.1215630248188972
6213,6213,77.0563714504242,-0.3464469909667969,-1.1271415948867798,0.1636889278888702,-0.0710906386375427,-0.9275895357131958,0.1491014063358307
6214,6214,77.06813645362854,-0.356826782226566,-0.9851330518722534,0.117720328271389,-0.0803852677345284,-0.9412118792533876,0.1417831480503082
6215,6215,77.0803918838501,-0.3661994934082031,-0.8880521059036255,0.1326217949390411,-0.0897009819746017,-0.9432374238967896,0.1268775165081024
6216,6216,77.09224939346313,-0.3811454772949219,-0.6852450966835022,0.0965875014662742,-0.1079673618078231,-0.9025458097457886,0.1237013414502143
6217,6217,77.10415625572205,-0.3864974975585937,-0.471670389175415,0.0722315534949302,-0.1169515699148178,-0.8936453461647034,0.1460462212562561
6218,6218,77.11491966247559,-0.3906669616699219,-0.3663176596164703,0.0682365521788597,-0.1268391460180282,-0.8969986438751221,0.144954115152359
6219,6219,77.1260895729065,-0.393447875976566,-0.2045932114124298,0.0629564747214317,-0.1349717825651168,-0.922074019908905,0.1339454352855682
6220,6220,77.13731932640076,-0.3947639465332031,-0.0810431763529777,0.0544198974967002,-0.1431011110544204,-0.9088674783706664,0.135168969631195
6221,6221,77.14839196205139,-0.3952445983886719,0.0061808750033378,0.0056933984160423,-0.1528673321008682,-0.8901228308677673,0.1465740203857422
6222,6222,77.15995073318481,-0.3941650390625,0.1639730036258697,0.0012144073843955,-0.1605411022901535,-0.8296733498573303,0.1455465853214264
6223,6223,77.17125010490417,-0.3890495300292969,0.3642468750476837,-0.0505140796303749,-0.1697368025779724,-0.8263808488845825,0.1345410346984863
6224,6224,77.1827986240387,-0.3850555419921839,0.4231648445129394,-0.0259286537766456,-0.1848975718021392,-0.7648023962974548,0.1182627156376838
6225,6225,77.19445204734802,-0.379638671875,0.5585529804229736,-0.0559485331177711,-0.1931268870830536,-0.6970627307891846,0.1203415766358375
6226,6226,77.20554685592651,-0.3725090026855433,0.6860246062278748,-0.0422779098153114,-0.2001618444919586,-0.6738391518592834,0.1393924057483673
6227,6227,77.21637511253357,-0.3657302856445312,0.7873427867889404,-0.0685134902596473,-0.2067261636257171,-0.6657264232635498,0.1407609283924102
6228,6228,77.2286868095398,-0.3574752807617152,0.844345211982727,-0.0643495097756385,-0.2128414213657379,-0.5787649154663086,0.12338737398386
6229,6229,77.23924803733826,-0.3483772277832031,0.9063357710838318,-0.0604379549622535,-0.2193873822689056,-0.5709837675094604,0.132272332906723
6230,6230,77.2505567073822,-0.3383522033691406,1.001874923706055,-0.0461748614907264,-0.2242405116558083,-0.5185235738754272,0.1159961000084877
6231,6231,77.26267838478088,-0.3159065246582031,1.1466798782348633,-0.0331509485840797,-0.2334631085395813,-0.3931658565998077,0.0961420908570289
6232,6232,77.27344822883606,-0.3023223876953125,1.2508708238601685,-0.083145834505558,-0.2369525730609893,-0.3015395104885101,0.0888217464089393
6233,6233,77.28449749946594,-0.2908630371093714,1.2920053005218506,-0.0701657310128212,-0.2395602166652679,-0.2638039886951446,0.0919447317719459
6234,6234,77.29625415802002,-0.2774276733398437,1.3326588869094849,-0.0510064139962196,-0.2419629096984863,-0.1847439408302307,0.0856925025582313
6235,6235,77.30762696266174,-0.2620162963867152,1.423153042793274,-0.0822362676262855,-0.243622750043869,-0.1204795837402343,0.088289774954319
6236,6236,77.3191466331482,-0.2489356994628906,1.4969674348831177,-0.0950703397393226,-0.2443149089813232,-0.075728565454483,0.0757373347878456
6237,6237,77.33101034164429,-0.2342491149902379,1.4927680492401123,-0.0745425000786781,-0.2445273399353027,0.0078121549449861,0.0595633164048194
6238,6238,77.34231758117676,-0.2033271789550781,1.5761951208114624,-0.0731479004025459,-0.2436996698379516,0.0846786126494407,0.0575021877884864
6239,6239,77.3528664112091,-0.1873664855956995,1.596599578857422,-0.0733064487576484,-0.2424854338169098,0.1328700184822082,0.0275740977376699
6240,6240,77.36336398124695,-0.1711692810058593,1.640244722366333,-0.0589672103524208,-0.2409710586071014,0.1884824484586715,0.0246326085180044
6241,6241,77.37515950202942,-0.1546401977539062,1.6630449295043943,-0.0807008519768714,-0.2389365136623382,0.2395707964897155,0.0232557412236928
6242,6242,77.38723659515381,-0.1381874084472656,1.6887863874435425,-0.0864096358418464,-0.2364937961101532,0.2769974172115326,0.0076741934753954
6243,6243,77.39838695526123,-0.1215133666992223,1.6532673835754397,-0.0822581723332405,-0.2341460287570953,0.3010199666023254,0.0089905615895986
